Comienca comienca RG 0.952324
ay haber VMIP3S0 0.451327
sangre sangre NCFS000 0.885714
. . Fp 1

Otrosi otrosí RG 0.97619
, , Fc 1
en en SPS00 1
las el DA0FP0 0.860393
partes parte NCFP000 0.498818
de de SPS00 0.999758
Sententrion septentrión NCFS000 1
, , Fc 1
que que PR0CN000 0.648953
son ser VSIP3P0 0.987239
muy muy RG 1
arredradas arredrar VMPS0PF 1
del del_de+del_el SP+DA 0.5
sol sol NCMS000 0.893805
, , Fc 1
non no RN 0.99968
son ser VSIP3P0 0.987239
y ý RG 0.180639
buenos bueno AQ0MP0 1
lidiadores lidiador NCMP000 1
: : Fd 1
ca ca CS 0.982082
magera maguer CS 1
que que PR0CN000 0.648953
ellos ellos PP3MP000 1
ayan haber VMSP2P0 0.34375
mucha mucho DI0FS0 0.97619
sangre sangre NCFS000 0.885714
, , Fc 1
e e CC 1
non no RN 0.99968
teman temer VMSP3P0 0.916667
por por SPS00 1
ende ende RG 1
las el DA0FP0 0.860393
llagas llaga NCFP000 0.755263
, , Fc 1
enpero empero CC 1
por por SPS00 1
el el DA0MS0 0.880831
abondamiento abundamiento NCMS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
sangre sangre NCFS000 0.885714
son ser VSIP3P0 0.987239
arrebatados arrebatado AQ0MP0 0.75
e e CC 1
sañudos sañudo AQ0MP0 1
, , Fc 1
e e CC 1
son ser VSIP3P0 0.987239
sin sin SPS00 1
sabiduria sabiduría NCFS000 1
: : Fd 1
e e CC 1
por por SPS00 1
ende ende RG 1
, , Fc 1
non no RN 0.99968
son ser VSIP3P0 0.987239
buenos bueno AQ0MP0 1
para para SPS00 0.988789
las el DA0FP0 0.860393
armas arma NCFP000 0.987805
. . Fp 1

Ca ca CS 0.982082
en en SPS00 1
la el DA0FS0 0.897854
lid lid NCMS000 1
, , Fc 1
mucho mucho RG 0.930013
vale valer VMIP3S0 0.846154
el el DA0MS0 0.880831
consejo consejo NCMS000 0.637326
e e CC 1
la el DA0FS0 0.897854
sabiduria sabiduría NCFS000 1
: : Fd 1
et et CC 1
asi así RG 1
lo lo PP3CNa00 0.348232
dize decir VMIP3S0 1
el el DA0MS0 0.880831
filosofo filosofar VMIS3S0 0.609156
en en SPS00 1
el el DA0MS0 0.880831
vii 7 Z 1
de de SPS00 0.999758
las el DA0FP0 0.860393
Politicas política NCFP000 0.633609
: : Fd 1
que que CS 0.351047
las el DA0FP0 0.860393
gentes gente NCFP000 1
que que PR0CN000 0.648953
se saber VMIP1S0 0.763441
llegan llegar VMIP3P0 1
mas más RG 0.654277
al al_a+al_el SP+DA 0.915677
sol sol NCMS000 0.893805
son ser VSIP3P0 0.987239
mas más RG 0.654277
arteras artero AQ0FP0 1
e e CC 1
mas más RG 0.654277
sabias sabio AQ0FP0 0.121154
, , Fc 1
mas más RG 0.654277
falleçeles fallecer+le VMIP3S0+PP3CPD00 0.901099
mucha mucho DI0FS0 0.97619
firmeza firmeza NCFS000 1
de de SPS00 0.999758
coraçon corazón NCMS000 1
: : Fd 1
e e CC 1
las el DA0FP0 0.860393
gentes gente NCFP000 1
que que PR0CN000 0.648953
son ser VSIP3P0 0.987239
arredradas arredrar VMPS0PF 1
del del_de+del_el SP+DA 0.5
sol sol NCMS000 0.893805
falleçen fallecer VMIP3P0 1
en en SPS00 1
sabiduria sabiduría NCFS000 1
, , Fc 1
e e CC 1
son ser VSIP3P0 0.987239
muy muy RG 1
fuertes fuerte AQ0CP0 1
de de SPS00 0.999758
coraçon corazón NCMS000 1
. . Fp 1

E e CC 1
por por SPS00 1
ende ende RG 1
, , Fc 1
si si CS 0.944444
estas este DD0FP0 0.776824
dos 2 Z 0.994169
cosas cosa NCFP000 1
son ser VSIP3P0 0.987239
menester menester NCMS000 1
para para SPS00 0.988789
las el DA0FP0 0.860393
batallas batalla NCFP000 1
, , Fc 1
destas destas_de+destas_este SP+DD 1
dos 2 Z 0.994169
tierras tierra NCFP000 1
non no RN 0.99968
son ser VSIP3P0 0.987239
de de SPS00 0.999758
tomar tomar VMN0000 1
los el DA0MP0 0.964169
lidiadores lidiador NCMP000 1
, , Fc 1
mas más RG 0.654277
de de SPS00 0.999758
las el DA0FP0 0.860393
tierras tierra NCFP000 1
medianeras medianero AQ0FP0 0.366391
, , Fc 1
que que PR0CN000 0.648953
ni ni CC 1
son ser VSIP3P0 0.987239
muy muy RG 1
arredradas arredrar VMPS0PF 1
, , Fc 1
nin ni CC 1
muy muy RG 1
allegados allegar VMPS0PM 0.460071
del del_de+del_el SP+DA 0.5
sol sol NCMS000 0.893805
, , Fc 1
e e CC 1
porque porque CS 0.996454
el el DA0MS0 0.880831
coraçon corazón NCMS000 1
es ser VSIP3S0 1
muy muy RG 1
menester menester NCMS000 1
en en SPS00 1
las el DA0FP0 0.860393
armas arma NCFP000 0.987805
, , Fc 1
mejor mejor AQ0CS0 0.983871
es ser VSIP3S0 1
escojer escoger VMN0000 1
lidiadores lidiador NCMP000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
alongados alongar VMPS0PM 1
e e CC 1
arredrados arredrar VMPS0PM 1
e e CC 1
muy muy RG 1
alongados alongar VMPS0PM 1
del del_de+del_el SP+DA 0.5
sol sol NCMS000 0.893805
, , Fc 1
sy si CS 0.871981
en en SPS00 1
ellos ellos PP3MP000 1
alguna alguno DI0FS0 0.992958
arte arte NCCS000 1
de de SPS00 0.999758
lidiar lidiar VMN0000 1
oiyere oiyere NCMS000 0.0722282
, , Fc 1
que que CS 0.351047
de de SPS00 0.999758
los el DA0MP0 0.964169
muy muy RG 1
çercanos cercano AQ0MP0 1
al al_a+al_el SP+DA 0.915677
sol sol NCMS000 0.893805
. . Fp 1

Mas mas CC 0.345275
esto este PD0NS000 0.983631
todo todo PI0MS000 0.17236
deuese deber+se VMIP3S0+PP3CN000 0.913505
entender entender VMN0000 0.892157
por por SPS00 1
la el DA0FS0 0.897854
mayor mayor AQ0CS0 0.996454
parte parte NCFS000 0.467611
e e CC 1
naturalmente naturalmente RG 1
, , Fc 1
ca ca CS 0.982082
en en SPS00 1
cada cada DI0CS0 1
una uno PI0FS000 0.11828
destas destas_de+destas_este SP+DD 1
partes parte NCFP000 0.498818
ay ahí RG 0.451327
buenos bueno AQ0MP0 1
e e CC 1
malos malo AQ0MP0 0.990196
lidiadores lidiador NCMP000 1
. . Fp 1

Quanto cuanto PR0MS000 0.996795
a a SPS00 0.956937
la el DA0FS0 0.897854
segunda 2 AO0FS0 1
conclusion conclusión NCFS000 1
, , Fc 1
de de SPS00 0.999758
quales cuál PT0CP000 1
tierras tierra NCFP000 1
son ser VSIP3P0 0.987239
de de SPS00 0.999758
escojer escoger VMN0000 1
los el DA0MP0 0.964169
lidiadores lidiador NCMP000 1
, , Fc 1
conviene convenir VMIP3S0 1
de de SPS00 0.999758
notar notar VMN0000 1
que que CS 0.351047
cosas cosa NCFP000 1
son ser VSIP3P0 0.987239
menester menester NCMS000 1
en en SPS00 1
los el DA0MP0 0.964169
lidiadores lidiador NCMP000 1
, , Fc 1
e e CC 1
estas este DD0FP0 0.776824
son ser VSIP3P0 0.987239
quatro cuatro AQ0MS0 0.366391
. . Fp 1

La el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
es ser VSIP3S0 1
que que CS 0.351047
ayan haber VMSP2P0 0.34375
muy muy RG 1
fuertes fuerte AQ0CP0 1
mienbros miembro NCMP000 0.633585
e e CC 1
muy muy RG 1
usados usar VMPS0PM 1
en en SPS00 1
ferir herir VMN0000 1
. . Fp 1

La el DA0FS0 0.897854
segunda 2 AO0FS0 1
, , Fc 1
que que PR0CN000 0.648953
non no RN 0.99968
teman temer VMSP3P0 0.916667
de de SPS00 0.999758
derramar derramar VMN0000 1
su su DP3CS0 1
sangre sangre NCFS000 0.885714
. . Fp 1

La el DA0FS0 0.897854
terçera 3 NCFS000 0.916667
es ser VSIP3S0 1
que que CS 0.351047
sean ser VSSP3P0 0.986111
de de SPS00 0.999758
rezios recio AQ0MP0 1
coraçones corazón NCMP000 1
para para SPS00 0.988789
acometer acometer VMN0000 1
. . Fp 1

La el DA0FS0 0.897854
iiii° iiii° NCMS000 0.175279
es ser VSIP3S0 1
que que CS 0.351047
sean ser VSSP3P0 0.986111
muy muy RG 1
rezios recio AQ0MP0 1
e e CC 1
muy muy RG 1
fuertes fuerte AQ0CP0 1
para para SPS00 0.988789
sofrir sufrir VMN0000 1
muy muy RG 1
grandes grande AQ0CP0 0.996795
trauajos trabajo NCMP000 1
. . Fp 1

E e CC 1
por por SPS00 1
la el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
condiçion condición NCFS000 1
podemos poder VMIP1P0 1
dezir decir VMN0000 0.993421
que que CS 0.351047
los el DA0MP0 0.964169
ferreros herrero NCMP000 1
e e CC 1
los el DA0MP0 0.964169
carpenteros carpintero NCMP000 1
son ser VSIP3P0 0.987239
buenos bueno AQ0MP0 1
para para SPS00 0.988789
las el DA0FP0 0.860393
batallas batalla NCFP000 1
, , Fc 1
e e CC 1
porque porque CS 0.996454
de de SPS00 0.999758
su su DP3CS0 1
arte arte NCCS000 1
han haber VAIP3P0 0.97619
los el DA0MP0 0.964169
braços brazo NCMP000 1
muy muy RG 1
usados usar VMPS0PM 1
de de SPS00 0.999758
ferir herir VMN0000 1
. . Fp 1

Por por SPS00 1
la el DA0FS0 0.897854
segunda 2 AO0FS0 1
condiçion condición NCFS000 1
, , Fc 1
podemos poder VMIP1P0 1
dezir decir VMN0000 0.993421
que que CS 0.351047
los el DA0MP0 0.964169
carniçeros carnicero NCMP000 0.569788
son ser VSIP3P0 0.987239
buenos bueno AQ0MP0 1
para para SPS00 0.988789
las el DA0FP0 0.860393
peleas pelea NCFP000 0.916667
, , Fc 1
porque porque CS 0.996454
son ser VSIP3P0 0.987239
muy muy RG 1
usados usar VMPS0PM 1
de de SPS00 0.999758
derramar derramar VMN0000 1
sangre sangre NCFS000 0.885714
, , Fc 1
e e CC 1
en en SPS00 1
matar matar VMN0000 1
animalias animalia NCFP000 1
: : Fd 1
por por SPS00 1
ende ende RG 1
non no RN 0.99968
temen temer VMIP3P0 1
los el DA0MP0 0.964169
golpes golpe NCMP000 1
, , Fc 1
nin ni CC 1
han haber VAIP3P0 0.97619
miedo miedo NCMS000 1
de de SPS00 0.999758
derramar derramar VMN0000 1
su su DP3CS0 1
sangre sangre NCFS000 0.885714
. . Fp 1

Por por SPS00 1
la el DA0FS0 0.897854
terçera 3 AO0FS0 0.0833333
condiçion condición NCFS000 1
, , Fc 1
podemos poder VMIP1P0 1
dezir decir VMN0000 0.993421
que que CS 0.351047
los el DA0MP0 0.964169
caçadores cazador NCMP000 0.566944
de de SPS00 0.999758
los el DA0MP0 0.964169
puercos puerco NCMP000 0.633527
e e CC 1
de de SPS00 0.999758
los el DA0MP0 0.964169
grandes grande AQ0CP0 0.996795
venados venado NCMP000 1
son ser VSIP3P0 0.987239
buenos bueno AQ0MP0 1
para para SPS00 0.988789
las el DA0FP0 0.860393
lides lid NCMP000 1
: : Fd 1
ca ca CS 0.982082
ellos ellos PP3MP000 1
non no RN 0.99968
acometen acometer VMIP3P0 1
los el DA0MP0 0.964169
grandes grande AQ0CP0 0.996795
venados venado NCMP000 1
, , Fc 1
sinon sino CC 0.96875
con con SPS00 1
muy muy RG 1
grant grande AQ0CS0 1
osadia osadía NCFS000 1
, , Fc 1
e e CC 1
tamaño tamaño AQ0MS0 0.366391
peligro peligro NCMS000 0.846154
, , Fc 1
e e CC 1
aun aun RG 1
mayor mayor AQ0CS0 0.996454
es ser VSIP3S0 1
e e CC 1
lidiar lidiar VMN0000 1
con con SPS00 1
una uno DI0FS0 0.763441
braua bravo AQ0FS0 1
bestia bestia NCCS000 1
, , Fc 1
que que CS 0.351047
con con SPS00 1
el el DA0MS0 0.880831
enemigo enemigo NCMS000 0.916667
. . Fp 1

Por por SPS00 1
la el DA0FS0 0.897854
quarta 4 AO0FS0 0.916667
condiçion condición NCFS000 1
, , Fc 1
son ser VSIP3P0 0.987239
de de SPS00 0.999758
escojer escoger VMN0000 1
los el DA0MP0 0.964169
caçadores cazador NCMP000 0.566944
de de SPS00 0.999758
los el DA0MP0 0.964169
siervos siervo NCMP000 1
, , Fc 1
porque porque CS 0.996454
son ser VSIP3P0 0.987239
muy muy RG 1
acostunbrados acostumbrar VMPS0PM 1
a a SPS00 0.956937
foyr huir VMN0000 1
muy muy RG 1
grandes grande AQ0CP0 0.996795
trabajos trabajo NCMP000 1
: : Fd 1
e e CC 1
por por SPS00 1
esta este DD0FS0 0.817376
mesma mismo AQ0FS0 0.954545
condiçion condición NCFS000 1
, , Fc 1
podria poder VMIC3S0 0.5
tomar tomar VMN0000 1
los el DA0MP0 0.964169
labradores labrador NCMP000 0.633554
, , Fc 1
e e CC 1
asi así RG 1
los lo PP3MPA00 0.0355791
fazian hacer VMII3P0 1
los el DA0MP0 0.964169
romanos romano AQ0MP0 0.916667
, , Fc 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
cuenta contar VMIP3S0 0.594771
Vejeçio vegecio NP000P0 1
. . Fp 1

E e CC 1
por por SPS00 1
estas este DD0FP0 0.776824
mesmas mismo AQ0FP0 0.571429
condiçiones condición NCFP000 1
, , Fc 1
son ser VSIP3P0 0.987239
de de SPS00 0.999758
desechar desechar VMN0000 1
los el DA0MP0 0.964169
alhajemes alhajemes NCMS000 0.499961
, , Fc 1
e e CC 1
los el DA0MP0 0.964169
alfayates alfayate NCMP000 1
, , Fc 1
ca ca CS 0.982082
el el DA0MS0 0.880831
arte arte NCCS000 1
non no RN 0.99968
les le PP3CPD00 1
da dar VMIP3S0 0.986111
a a SPS00 0.956937
seer ser VSN0000 0.990196
buenos bueno AQ0MP0 1
para para SPS00 0.988789
las el DA0FP0 0.860393
batallas batalla NCFP000 1
, , Fc 1
por por SPS00 1
razon razón NCFS000 1
que que PR0CN000 0.648953
deuen deber VMIP3P0 1
tener tener VMN0000 1
las el DA0FP0 0.860393
manos mano NCFP000 1
liuianas liviano AQ0FP0 1
, , Fc 1
ca ca CS 0.982082
non no RN 0.99968
usan usar VMIP3P0 1
tener tener VMN0000 1
estos este PD0MP000 0.133621
en en SPS00 1
sus su DP3CP0 1
manos mano NCFP000 1
, , Fc 1
synon sino CC 0.96875
nauajas navaja NCFP000 1
, , Fc 1
e e CC 1
lançetas lanceta NCFP000 1
, , Fc 1
e e CC 1
los el DA0MP0 0.964169
alfayates alfayate NCMP000 1
agvias agvias NCFP000 0.676093
, , Fc 1
e e CC 1
qual cuál DT0CS0 1
es ser VSIP3S0 1
la el DA0FS0 0.897854
conparaçion comparación NCFS000 1
del del_de+del_el SP+DA 0.5
agvia agvia NCFS000 0.125445
a a SPS00 0.956937
la el DA0FS0 0.897854
lança lanza NCFS000 0.81526
, , Fc 1
e e CC 1
de de SPS00 0.999758
la el DA0FS0 0.897854
nauaja navaja NCFS000 1
al al_a+al_el SP+DA 0.915677
espada espada NCFS000 1
: : Fd 1
tal tal PD0CS000 0.223757
es ser VSIP3S0 1
la el DA0FS0 0.897854
conparaçion comparación NCFS000 1
destos destos_de+destos_este SP+PD 1
tales tal PD0CP000 0.723214
a a SPS00 0.956937
los el DA0MP0 0.964169
buenos bueno AQ0MP0 1
lidiadores lidiador NCMP000 1
. . Fp 1

Et et CC 1
por por SPS00 1
estas este DD0FP0 0.776824
mesmas mismo AQ0FP0 0.571429
condiçiones condición NCFP000 1
, , Fc 1
son ser VSIP3P0 0.987239
de de SPS00 0.999758
desechar desechar VMN0000 1
los el DA0MP0 0.964169
boticarios boticario NCMP000 1
, , Fc 1
e e CC 1
los el DA0MP0 0.964169
pescadores pescador NCMP000 0.483677
, , Fc 1
e e CC 1
los el DA0MP0 0.964169
caçadores cazador NCMP000 0.566944
de de SPS00 0.999758
las el DA0FP0 0.860393
aues ave NCFP000 1
, , Fc 1
porque porque CS 0.996454
las el DA0FP0 0.860393
sus su DP3CP0 1
artes arte NCCP000 1
non no RN 0.99968
son ser VSIP3P0 0.987239
buenas bueno AQ0FP0 1
para para SPS00 0.988789
las el DA0FP0 0.860393
batallas batalla NCFP000 1
, , Fc 1
nin ni CC 1
ellos ellos PP3MP000 1
non no RN 0.99968
pueden poder VMIP3P0 1
ser ser VSN0000 0.969613
bien bien RG 0.963887
aparejados aparejar VMPS0PM 0.25
a a SPS00 0.956937
la el DA0FS0 0.897854
lid lid NCMS000 1
, , Fc 1
por por SPS00 1
la el DA0FS0 0.897854
condiçion condición NCFS000 1
de de SPS00 0.999758
sus su DP3CP0 1
artes arte NCCP000 1
, , Fc 1
como como CS 0.953008
quier querer VMSP1S0 0.499006
que que CS 0.351047
en en SPS00 1
cada cada DI0CS0 1
arte arte NCCS000 1
pueden poder VMIP3P0 1
ser ser VSN0000 0.969613
algunos alguno DI0MP0 0.68018
buenos bueno AQ0MP0 1
e e CC 1
osados osado AQ0MP0 0.75
lidiadores lidiador NCMP000 1
, , Fc 1
e e CC 1
algunos alguno DI0MP0 0.68018
flacos flaco AQ0MP0 1
e e CC 1
temerosos temeroso AQ0MP0 1
, , Fc 1
mas mas CC 0.345275
la el DA0FS0 0.897854
cadudeza cadudeza NCFS000 1
non no RN 0.99968
la lo PP3FSA00 0.10199
han haber VAIP3P0 0.97619
de de SPS00 0.999758
aquellas aquel DD0FP0 0.5
artes arte NCCP000 1
. . Fp 1

E e CC 1
asi así RG 1
pareçe parecer VMIP3S0 0.913505
que que CS 0.351047
algunas alguno DI0FP0 0.990196
artes arte NCCP000 1
fazen hacer VMIP3P0 1
los el DA0MP0 0.964169
omnes hombre NCMP000 1
aparejados aparejado AQ0MP0 0.75
para para SPS00 0.988789
las el DA0FP0 0.860393
batallas batalla NCFP000 1
, , Fc 1
e e CC 1
de de SPS00 0.999758
aquellas aquel DD0FP0 0.5
tierras tierra NCFP000 1
se ser VSM02S0 0.225806
deuen deber VMIP3P0 1
conplir cumplir VMN0000 1
los el DA0MP0 0.964169
lidiadores lidiador NCMP000 1
; ; Fx 1
e e CC 1
otras otro DI0FP0 0.698675
artes arte NCCP000 1
los el DA0MP0 0.964169
fazen hacer VMIP3P0 1
torpes torpe AQ0CP0 1
para para SPS00 0.988789
la el DA0FS0 0.897854
lid lid NCMS000 1
: : Fd 1
e e CC 1
de de SPS00 0.999758
aquellas aquel PD0FP000 0.5
non no RN 0.99968
se saber VMIP1S0 0.763441
deuen deber VMIP3P0 1
tomar tomar VMN0000 1
los el DA0MP0 0.964169
lidiadores lidiador NCMP000 1
. . Fp 1

E e CC 1
asi así RG 1
podremos poder VMIF1P0 1
dezir decir VMN0000 0.993421
que que CS 0.351047
los el DA0MP0 0.964169
armeros armero NCMP000 1
e e CC 1
lançeros lancero NCMP000 1
que que PR0CN000 0.648953
son ser VSIP3P0 0.987239
buenos bueno AQ0MP0 1
para para SPS00 0.988789
lid lid NCMS000 1
, , Fc 1
e e CC 1
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
que que PR0CN000 0.648953
labran labrar VMIP3P0 1
las el DA0FP0 0.860393
armas arma NCFP000 0.987805
, , Fc 1
mas más RG 0.654277
çapateros zapatero AQ0MP0 0.516324
e e CC 1
pellejeros pellejero NCMP000 1
e e CC 1
gente gente NCFS000 1
menudas menudo AQ0FP0 1
de de SPS00 0.999758
su su DP3CS0 1
ofiçio oficio NCMS000 0.337326
non no RN 0.99968
son ser VSIP3P0 0.987239
buenos bueno AQ0MP0 1
para para SPS00 0.988789
lid lid NCMS000 1
. . Fp 1

Mas mas CC 0.345275
aqui aquí RG 1
conviene convenir VMIP3S0 1
de de SPS00 0.999758
saber saber VMN0000 0.665563
dos 2 Z 0.994169
cosas cosa NCFP000 1
. . Fp 1

La el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
es ser VSIP3S0 1
saber saber NCMS000 0.334437
en en SPS00 1
quales cuál PT0CP000 1
tierras tierra NCFP000 1
fueron ser VSIS3P0 0.938596
primeramente primeramente RG 1
mostradas mostrar VMPS0PF 1
las el DA0FP0 0.860393
artes arte NCCP000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
lid lid NCMS000 1
, , Fc 1
en en SPS00 1
las el DA0FP0 0.860393
quales cuál PT0CP000 1
deuen deber VMIP3P0 1
ser ser VSN0000 0.969613
enseñadas enseñar VMPS0PF 1
las el DA0FP0 0.860393
artes arte NCCP000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
lid lid NCMS000 1
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
que que PR0CN000 0.648953
quieren querer VMIP3P0 1
ser ser VSN0000 0.969613
buenos bueno AQ0MP0 1
lidiadores lidiador NCMP000 1
, , Fc 1
e e CC 1
los el DA0MP0 0.964169
reyes rey NCMP000 1
que que PR0CN000 0.648953
han haber VAIP3P0 0.97619
sienpre siempre RG 1
guerras guerra NCFP000 1
e e CC 1
deuen deber VMIP3P0 1
a a SPS00 0.956937
sus su DP3CP0 1
caualleros caballero NCMP000 0.954545
fazer hacer VMN0000 1
aprender aprender VMN0000 1
estas este DD0FP0 0.776824
artes arte NCCP000 1
, , Fc 1
e e CC 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
dize decir VMIP3S0 1
en en SPS00 1
el el DA0MS0 0.880831
Policrado policrado NCMS000 0.277725
, , Fc 1
en en SPS00 1
el el DA0MS0 0.880831
vi° vi° AQ0CS00 0.0305452
libro libro NCMS000 0.993994
, , Fc 1
capitulo capítulo NCMS000 1
vi 6 Z 0.6
, , Fc 1
el el DA0MS0 0.880831
arte arte NCCS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
caualleria caballería NCFS000 1
e e CC 1
de de SPS00 0.999758
la el DA0FS0 0.897854
lid lid NCMS000 1
fue ser VSIS3S0 0.93672
primeramente primeramente RG 1
fallada fallar VMPS0SF 0.478261
e e CC 1
mostrada mostrar VMPS0SF 1
en en SPS00 1
Greçia grecia NP000G0 1
. . Fp 1

Onde donde RG 0.5
dize decir VMIP3S0 1
alli allí RG 1
que que CS 0.351047
Anibal aníbal NP000P0 1
, , Fc 1
antes antes RG 1
que que CS 0.351047
viniese venir VMSI3S0 0.649972
a a SPS00 0.956937
Ytalia italia NP000G0 1
a a SPS00 0.956937
lidiar lidiar VMN0000 1
con con SPS00 1
los el DA0MP0 0.964169
Rromanos romano AQ0MP0 0.916667
, , Fc 1
antes antes RG 1
enbio enviar VMIS3S0 1
a a SPS00 0.956937
Greçia grecia NP000G0 1
maestros maestro NCMP000 0.633609
desta desta_de+desta_este SP+DD 1
arte arte NCCS000 1
, , Fc 1
que que CS 0.351047
le le PP3CSD00 1
enseñasen enseñar VMSI3P0 1
a a SPS00 0.956937
el él PP3MS000 0.119169
e e CC 1
a a SPS00 0.956937
los el DA0MP0 0.964169
suyos suyo PX3MP000 1
el el DA0MS0 0.880831
arte arte NCCS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
caualleria caballería NCFS000 1
: : Fd 1
e e CC 1
despues después RG 1
que que CS 0.351047
la lo PP3FSA00 0.10199
ouo haber VAIS3S0 1
bien bien RG 0.963887
aprendida aprender VMPS0SF 1
con con SPS00 1
el el DA0MS0 0.880831
effuerço esfuerzo NCMS000 1
del del_de+del_el SP+DA 0.5
arte arte NCCS000 1
encomenço encomenço NCMS000 1
a a SPS00 0.956937
lidiar lidiar VMN0000 1
con con SPS00 1
los el DA0MP0 0.964169
Rromanos romano AQ0MP0 0.916667
que que PR0CN000 0.648953
fueron ser VSIS3P0 0.938596
señores señor NCMP000 1
, , Fc 1
e e CC 1
vençedores vencedor NCMP000 0.569352
: : Fd 1
e e CC 1
fue ser VSIS3S0 0.93672
contra contra SPS00 0.982979
ellos ellos PP3MP000 1
, , Fc 1
e e CC 1
vençiolos vencer+lo VMIS3S0+PP3MPA00 1
muchas mucho DI0FP0 0.836538
vezes vez NCFP000 1
, , Fc 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
cuenta contar VMIP3S0 0.594771
Sant santo NCMS000 0.60989
Agostin agustín NP000P0 1
en en SPS00 1
el el DA0MS0 0.880831
libro libro NCMS000 0.993994
de de SPS00 0.999758
la el DA0FS0 0.897854
çibdat ciudad NCFS000 1
de de SPS00 0.999758
Dios dios NCMS000 0.999067
. . Fp 1

Et et CC 1
desto desto_de+desto_este SP+PD 1
cuenta cuenta NCFS000 0.398693
Trogo trogo VMIS3S0 1
Ponpeo pompeyo NP000P0 1
, , Fc 1
en en SPS00 1
el el DA0MS0 0.880831
xi 11 Z 1
libro libro NCMS000 0.993994
de de SPS00 0.999758
Alixandre alejandro NP000P0 1
, , Fc 1
que que PR0CN000 0.648953
sopo saber VMIS3S0 1
muy muy RG 1
bien bien RG 0.963887
esta este DD0FS0 0.817376
arte arte NCCS000 1
, , Fc 1
e e CC 1
quando cuándo PT000000 1
ouo haber VAIS3S0 1
de de SPS00 0.999758
venir venir VMN0000 1
a a SPS00 0.956937
la el DA0FS0 0.897854
batalla batalla NCFS000 1
muy muy RG 1
peligrosa peligroso AQ0FS0 1
contra contra SPS00 0.982979
Dario darío NP000P0 1
, , Fc 1
non no RN 0.99968
quiso querer VMIS3S0 1
escojer escoger VMN0000 1
mançebos mancebo NCMP000 0.573612
de de SPS00 0.999758
la el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
hedat edad NCFS000 1
, , Fc 1
mas más RG 0.654277
a a SPS00 0.956937
muchos mucho DI0MP0 0.876506
maestros maestro NCMP000 0.633609
de de SPS00 0.999758
la el DA0FS0 0.897854
caualleria caballería NCFS000 1
, , Fc 1
los el DA0MP0 0.964169
quales cuál PT0CP000 1
auian haber VAII3P0 0.5
lidiado lidiar VMPS0SM 1
con con SPS00 1
su su DP3CS0 1
padre padre NCMS000 1
e e CC 1
con con SPS00 1
su su DP3CS0 1
auuelo abuelo NCMS000 1
, , Fc 1
asi así RG 1
que que CS 0.351047
non no RN 0.99968
podria poder VMIC3S0 0.5
omne hombre NCMS000 1
cuydar cuidar VMN0000 1
que que CS 0.351047
ellos ellos PP3MP000 1
eran ser VSII3P0 1
solamente solamente RG 1
caualleros caballero AQ0MP0 0.0454545
, , Fc 1
nin ni CC 1
maestros maestro NCMP000 0.633609
de de SPS00 0.999758
caualleria caballería NCFS000 1
, , Fc 1
nin ni CC 1
quiso querer VMIS3S0 1
que que CS 0.351047
ningunos ninguno PI0MP000 0.273349
fuesen ser VSSI3P0 0.954545
bien bien RG 0.963887
armados armar VMPS0PM 1
caualleros caballero NCMP000 0.954545
fasta hasta SP 0.99505
que que PR0CN000 0.648953
ouiesen haber VMSI3P0 0.8
treynta treinta AQ0MS0 0.375802
años año NCMP000 1
, , Fc 1
e e CC 1
fuesen ser VSSI3P0 0.954545
bien bien RG 0.963887
enseñados enseñar VMPS0PM 1
en en SPS00 1
la el DA0FS0 0.897854
arte arte NCCS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
caualleria caballería NCFS000 1
, , Fc 1
asi así RG 1
que que CS 0.351047
todo todo DI0MS0 0.746894
omne hombre NCMS000 1
que que PR0CN000 0.648953
veya ver VMII3S0 0.65
la el DA0FS0 0.897854
su su DP3CS0 1
hueste hueste NCFS000 1
mas mas CC 0.345275
cuydaua cuidar VMII1S0 0.5
que que PR0CN000 0.648953
veya ver VMII3S0 0.65
maestros maestro NCMP000 0.633609
e e CC 1
sabios sabio NCMP000 0.69802
que que PR0CN000 0.648953
lidiadores lidiador NCMP000 1
: : Fd 1
e e CC 1
pareçia parecer VMII3S0 0.647618
la el DA0FS0 0.897854
su su DP3CS0 1
caualleria caballería NCFS000 1
asi así RG 1
pintada pintar VMPS0SF 0.916667
de de SPS00 0.999758
armas arma NCFP000 0.987805
, , Fc 1
e e CC 1
