Capitulo capítulo NCMS000 1
tierra tierra NCFS000 1
del del_de+del_el SP+DA 0.5
rey rey NCMS000 1
tholomeo tolomeo NP000P0 1
que que PR0CN000 0.648953
se saber VMIP1S0 0.763441
le le PP3CSD00 1
sujudgo sujudgo VMIS3S0 0.255825
sin sin SPS00 1
njnguna ninguno DI0FS0 0.822581
batalla batalla NCFS000 1
. . Fp 1

E e CC 1
despues después RG 1
desto desto_de+desto_este SP+PD 1
para para SPS00 0.988789
conplir cumplir VMN0000 1
lo el DA0NS0 0.30297
que que PR0CN000 0.648953
dixiera decir VMSI3S0 0.65
a a SPS00 0.956937
los el DA0MP0 0.964169
mensaieros mensajero NCMP000 0.333794
de de SPS00 0.999758
dario darío NP000P0 1
. . Fp 1

la el DA0FS0 0.897854
sesta sexto AO0FS0 0.916667
cosa cosa NCFS000 1
que que PR0CN000 0.648953
entro entrar VMIS3S0 0.475
en en SPS00 1
la el DA0FS0 0.897854
mar mar NCCS000 1
para para SPS00 0.988789
pasar pasar VMN0000 1
a a SPS00 0.956937
asya asia NP000G0 1
a a SPS00 0.956937
pelear pelear VMN0000 1
con con SPS00 1
dario darío NP000P0 1
e e CC 1
llegando llegar VMG0000 1
al al_a+al_el SP+DA 0.915677
puerto puerto NCMS000 1
ante ante SPS00 0.378016
que que PR0CN000 0.648953
aribase arribar+se VMIP3S0+PP3CN000 0.913505
tomo tomar VMIP1S0 0.496933
vna uno DI0FS0 0.862903
ballesta ballesta NCFS000 1
e e CC 1
puso poner VMIS3S0 1
en en SPS00 1
ella él PP3FS000 1
vna uno DI0FS0 0.862903
saeta saeta NCFS000 1
para para SPS00 0.988789
ferir herir VMN0000 1
a a SPS00 0.956937
toda todo DI0FS0 0.949029
asia asia NP000G0 1
. . Fp 1

E e CC 1
como como CS 0.953008
lanço lanzar VMIS3S0 0.64998
ferio feriar VMIS3S0 0.383333
vn uno DI0MS0 0.965785
cueruo cuervo NCMS000 1
por por SPS00 1
el el DA0MS0 0.880831
ayre aire NCMS000 1
e e CC 1
matolo matar+lo VMIS3S0+PP3CNa00 0.295033 matar+lo VMIS3S0+PP3MSa00 0.295033
con con SPS00 1
ella él PP3FS000 1
. . Fp 1

E e CC 1
alli allí RG 1
le le PP3CSD00 1
dixieron decir VMIS3P0 1
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
sabios sabio NCMP000 0.69802
que que PR0CN000 0.648953
era ser VSII1S0 0.483357
señal señal NCFS000 1
de de SPS00 0.999758
conquerir conquerir VMN0000 1
a a SPS00 0.956937
todas todo DI0FP0 0.958167
asia asia NP000G0 1
e e CC 1
a a SPS00 0.956937
toda todo DI0FS0 0.949029
persia persia NP000G0 1
. . Fp 1

la el DA0FS0 0.897854
setena septeno AQ0FS0 1
cosa cosa NCFS000 1
es ser VSIP3S0 1
que que PR0CN000 0.648953
ante antes RG 0.619303
que que CS 0.351047
pasase pasar VMSI1S0 0.649822
a a SPS00 0.956937
asia asia NP000G0 1
e e CC 1
despues después RG 1
que que CS 0.351047
subiudgo subiudgo VMIS3S0 0.255825
a a SPS00 0.956937
tolomeo tolomeo NP000P0 1
con con SPS00 1
egipto egipto NP000G0 1
veno venir VMIS3S0 1
a a SPS00 0.956937
lidiar lidiar VMN0000 1
con con SPS00 1
vn uno DI0MS0 0.965785
prinçipe príncipe NCMS000 1
que que PR0CN000 0.648953
dezian decir VMII3P0 1
pensennia pensennia NCFS000 0.699966
que que PR0CN000 0.648953
era ser VSII1S0 0.483357
vasallo vasallo AQ0MS0 0.366391
de de SPS00 0.999758
su su DP3CS0 1
padre padre NCMS000 1
e e CC 1
alçarase alzar+se VMSI3S0+PP3CN000 1
contra contra SPS00 0.982979
el él PP3MS000 0.119169
e e CC 1
le le PP3CSD00 1
auia haber VMII3S0 1
muerto morir VMPS0SM 0.96875
en en SPS00 1
canpo campo NCMS000 1
mientra mientras RG 0.5
que que CS 0.351047
alexandre alejandro NP000P0 1
estaua estar VAII3S0 1
en en SPS00 1
egipto egipto NP000G0 1
. . Fp 1

E e CC 1
despues después RG 1
quiso querer VMIS3S0 1
eso ese PD0NS000 1
mesmo mismo AQ0MS0 0.458647
fazer hacer VMN0000 1
al al_a+al_el SP+DA 0.915677
fijo hijo NCMS000 1
por por SPS00 1
que que PR0CN000 0.648953
casase casar VMSI1S0 0.649822
con con SPS00 1
olinpias olinpias NCFP000 0.676093
su su DP3CS0 1
madre madre NCFS000 1
de de SPS00 0.999758
alexandre alejandro NP000P0 1
e e CC 1
alli allí RG 1
alexandre alejandro NP000P0 1
peleo pelear VMIP1S0 0.499224
conel conel_con+conel_el SP+DA 0.5
e e CC 1
prisolo prender+lo VMIS3S0+PP3CNa00 0.5 prender+lo VMIS3S0+PP3MSa00 0.5
e e CC 1
mandolo mandar+lo VMIS3S0+PP3CNa00 0.295033 mandar+lo VMIS3S0+PP3MSa00 0.295033
enforcar ahorcar VMN0000 0.5
como como CS 0.953008
a a SPS00 0.956937
traydor traidor NCMS000 0.633609
. . Fp 1

E e CC 1
asi así RG 1
vengo vengar VMIP1S0 0.383333
la el DA0FS0 0.897854
muerte muerte NCFS000 1
de de SPS00 0.999758
su su DP3CS0 1
padre padre NCMS000 1
. . Fp 1

E e CC 1
alli allí RG 1
los el DA0MP0 0.964169
griegos griego AQ0MP0 0.954545
fazian hacer VMII3P0 1
muy muy RG 1
grant grande AQ0CS0 1
llanto llantar NCMS000 0.525272
por por SPS00 1
la el DA0FS0 0.897854
muerte muerte NCFS000 1
del del_de+del_el SP+DA 0.5
padre padre NCMS000 1
e e CC 1
grant grande AQ0CS0 1
alegria alegría NCFS000 1
por por SPS00 1
que que PR0CN000 0.648953
alcançauan alcanzar VMII3P0 1
por por SPS00 1
reny reny NCMS000 0.272782
a a SPS00 0.956937
alexandre alejandro NP000P0 1
. . Fp 1

la el DA0FS0 0.897854
ochaua ochavo AQ0FS0 0.366393
cosa cosa NCFS000 1
es ser VSIP3S0 1
que que PR0CN000 0.648953
despues después RG 1
que que CS 0.351047
esto este PD0NS000 0.983631
ouo haber VAIS3S0 1
fecho hacer VMPS0SM 0.328
e e CC 1
entro entrar VMIS3S0 0.475
en en SPS00 1
la el DA0FS0 0.897854
mar mar NCCS000 1
e e CC 1
paso pasar VMIP1S0 0.476923
a a SPS00 0.956937
allende allende RG 1
a a SPS00 0.956937
asia asia NP000G0 1
subio subir VMIS3S0 1
encima encima RG 1
de de SPS00 0.999758
vn uno DI0MS0 0.965785
monte monte NCMS000 0.885714
e e CC 1
començo comenzar VMIS3S0 0.181337
a a SPS00 0.956937
contenplar contemplar VMN0000 1
a a SPS00 0.956937
asia asia NP000G0 1
e e CC 1
dixo decir VMIS3S0 1
que que CS 0.351047
noble noble AQ0CS0 0.996894
tierra tierra NCFS000 1
esta este DD0FS0 0.817376
me me PP1CS000 1
cunple cumplir VMM02S0 1
a a SPS00 0.956937
mj mí PP1CSO00 0.393393
E e CC 1
tomo tomar VMIP1S0 0.496933
tamaño tamaño AQ0MS0 0.366391
esfuerço esfuerzo NCMS000 0.551599
en en SPS00 1
su su DP3CS0 1
coraçon corazón NCMS000 1
que que PR0CN000 0.648953
dixo decir VMIS3S0 1
a a SPS00 0.956937
los el DA0MP0 0.964169
caualleros caballero NCMP000 0.954545
que que PR0CN000 0.648953
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
regnos reino NCMP000 1
eran ser VSII3P0 1
suyos suyo PX3MP000 1
Ca ca CS 0.982082
se saber VMIP1S0 0.763441
tenia tener VMII1S0 0.5
por por SPS00 1
señor señor NCMS000 0.996183
de de SPS00 0.999758
todos todo PI0MP000 0.230392
. . Fp 1

E e CC 1
començo comenzar VMIS3S0 0.181337
a a SPS00 0.956937
partir partir VMN0000 1
las el DA0FP0 0.860393
tierras tierra NCFP000 1
lo el DA0NS0 0.30297
que que PR0CN000 0.648953
era ser VSII1S0 0.483357
ya ya RG 0.876984
suyo suyo PX3MS000 0.5
diolo dar+lo VMIS3S0+PP3CNa00 0.5 dar+lo VMIS3S0+PP3MSa00 0.5
a a SPS00 0.956937
sus su DP3CP0 1
caualleros caballero NCMP000 0.954545
e e CC 1
partioles partir+le VMIS3S0+PP3CPD00 1
los el DA0MP0 0.964169
regnados reinar VMPS0PM 1
que que PR0CN000 0.648953
auia haber VMII3S0 1
ganados ganar VMPS0PM 0.916667
. . Fp 1

la el DA0FS0 0.897854
nouena noveno AO0FS0 0.459016
cosa cosa NCFS000 1
es ser VSIP3S0 1
que que PR0CN000 0.648953
despues después RG 1
que que CS 0.351047
llego llegar VMIS3S0 0.630003
a a SPS00 0.956937
troya troya NP000G0 1
e e CC 1
vio ver VMIS3S0 1
la el DA0FS0 0.897854
çerca cerca NCFS000 0.0232558
e e CC 1
la el DA0FS0 0.897854
fortaleza fortaleza NCFS000 1
della della_de+della_el SP+DA 0.5
marauillose maravillar+se VMIP1S0+PP3CN000 0.616647
mucho mucho RG 0.930013
e e CC 1
pluguierale placer+le VMSI3S0+PP3CSD00 0.625545
que que CS 0.351047
non no RN 0.99968
fuera ser VSSI1S0 0.176136
destruyda destruir VMPS0SF 1
por por SPS00 1
ser ser VSN0000 0.969613
señor señor NCMS000 0.996183
della della_de+della_el SP+DA 0.5
. . Fp 1

E e CC 1
alli allí RG 1
fizo hacer VMIS3S0 1
muy muy RG 1
grandes grande AQ0CP0 0.996795
sacriffiçios sacrificio NCMP000 1
sobre sobre SPS00 0.945175
los el DA0MP0 0.964169
sepulcros sepulcro NCMP000 1
de de SPS00 0.999758
archiles aquiles NP000P0 1
e e CC 1
de de SPS00 0.999758
los el DA0MP0 0.964169
otros otro DI0MP0 0.652439
caualleros caballero NCMP000 0.954545
que que PR0CN000 0.648953
alli allí RG 1
murieran morir VMSI3P0 1
. . Fp 1

la el DA0FS0 0.897854
dezena decena NCFS000 1
cosa cosa NCFS000 1
es ser VSIP3S0 1
que que PR0CN000 0.648953
conto contar VMIS3S0 0.544737
a a SPS00 0.956937
sus su DP3CP0 1
caualleros caballero NCMP000 0.954545
vna uno DI0FS0 0.862903
vision visión NCFS000 1
que que PR0CN000 0.648953
auia haber VMII3S0 1
auida haber VMPS0SF 0.875
en en SPS00 1
greçia grecia NP000G0 1
quando cuándo PT000000 1
murio morir VMIS3S0 1
su su DP3CS0 1
padre padre NCMS000 1
. . Fp 1

E e CC 1
dixo decir VMIS3S0 1
asi así RG 1
sabed saber VMM02P0 1
caualleros caballero NCMP000 0.954545
que que PR0CN000 0.648953
estando estar VAG0000 1
yo yo PP1CSN00 1
en en SPS00 1
greçia grecia NP000G0 1
vna uno DI0FS0 0.862903
noche noche NCFS000 1
a a SPS00 0.956937
la el DA0FS0 0.897854
media medio AQ0FS0 0.0975923
noche noche NCFS000 1
do donde PR000000 0.984536
estaua estar VAII3S0 1
en en SPS00 1
muy muy RG 1
grant grande AQ0CS0 1
cuydado cuidado NCMP000 0.847222
sy si CS 0.871981
defenderia defender VMIC3S0 0.65
mi mi DP1CSS 0.879781
terra tierra NCFS000 1
e e CC 1
mi mi DP1CSS 0.879781
regno reino NCMS000 0.592233
o o CC 0.99692
si si CS 0.944444
yria ir VMIC3S0 0.649992
acometer acometer VMN0000 1
los el DA0MP0 0.964169
mis mi DP1CPS 0.986111
enemigos enemigo NCMP000 0.65625
e e CC 1
pensando pensar VMG0000 1
de de SPS00 0.999758
lo lo PP3CNa00 0.348232
conplir cumplir VMN0000 1
todo todo DI0MS0 0.746894
. . Fp 1

a a SPS00 0.956937
la el DA0FS0 0.897854
media medio AQ0FS0 0.0975923
noche noche NCFS000 1
estando estar VAG0000 1
muy muy RG 1
agrauado agravar VMPS0SM 1
del del_de+del_el SP+DA 0.5
sueño sueño NCMS000 0.637326
vy ver VMIS1S0 1
venir venir VMN0000 1
vna uno DI0FS0 0.862903
claridat claridad NCFS000 1
muy muy RG 1
grande grande AQ0CS0 0.994186
del del_de+del_el SP+DA 0.5
çielo cielo NCMS000 1
. . Fp 1

E e CC 1
tamaño tamaño NCMS000 0.633609
fue ser VSIS3S0 0.93672
el el DA0MS0 0.880831
temor temor NCMS000 1
que que PR0CN000 0.648953
oue haber VMIS1S0 1
que que PR0CN000 0.648953
començe comenzar VMIS1S0 0.744224
a a SPS00 0.956937
sudar sudar VMN0000 1
. . Fp 1

E e CC 1
estando estar VAG0000 1
en en SPS00 1
este este DD0MS0 0.93323
miedo miedo NCMS000 1
de de SPS00 0.999758
muerte muerte NCFS000 1
vi ver VMIS1S0 0.4
venir venir VMN0000 1
vn uno DI0MS0 0.965785
hombre hombre NCMS000 1
muy muy RG 1
honrrado honrado AQ0MS0 0.916667
del del_de+del_el SP+DA 0.5
çielo cielo NCMS000 1
non no RN 0.99968
se saber VMIP1S0 0.763441
si si CS 0.944444
me me PP1CS000 1
conujene convenir VMIP3S0 1
de de SPS00 0.999758
le le PP3CSD00 1
llamar llamar VMN0000 1
ome hombre NCMS000 1
o o CC 0.99692
dios dios NCMS000 0.999067
e e CC 1
venia venir VMII1S0 0.478261
vestido vestir VMPS0SM 0.460071
de de SPS00 0.999758
vna uno DI0FS0 0.862903
vestidura vestidura NCFS000 1
de de SPS00 0.999758
oro oro NCMS000 0.968254
muy muy RG 1
estraña extraño AQ0FS0 0.366391
e e CC 1
muy muy RG 1
marauillosa maravilloso AQ0FS0 1
e e CC 1
semeiaua semejar VMII3S0 0.649996
obispo obispo NCMS000 1
quando cuándo PT000000 1
quiere querer VMIP3S0 0.983871
dezir decir VMN0000 0.993421
missa misa NCFS000 1
. . Fp 1

E e CC 1
en en SPS00 1
las el DA0FP0 0.860393
faldas falda NCFP000 1
traya traer VMII3S0 1
muchas mucho DI0FP0 0.836538
piedras piedra NCFP000 1
preçiosas precioso AQ0FP0 1
e e CC 1
relunbraua relumbrar VMII3S0 0.65
el el DA0MS0 0.880831
oro oro NCMS000 0.968254
como como CS 0.953008
el el DA0MS0 0.880831
sol sol NCMS000 0.893805
. . Fp 1

E e CC 1
tenia tener VMII1S0 0.5
vnos uno PI0MP000 0.980769
pedaços pedazo NCMP000 1
de de SPS00 0.999758
oro oro NCMS000 0.968254
que que PR0CN000 0.648953
le le PP3CSD00 1
cubrian cubrir VMII3P0 1
los el DA0MP0 0.964169
cabellos cabello NCMP000 1
. . Fp 1

E e CC 1
tenia tener VMII1S0 0.5
en en SPS00 1
los el DA0MP0 0.964169
pechos pecho NCMP000 1
doze doce AQ0MS0 0.36866
piedras piedra NCFP000 1
preçiosas precioso AQ0FP0 1
que que PR0CN000 0.648953
relunbrauan relumbrar VMII3P0 1
como como CS 0.953008
fuego fuego NCMS000 1
. . Fp 1

E e CC 1
en en SPS00 1
la el DA0FS0 0.897854
frente frente NCFS000 0.334125
tenia tener VMII1S0 0.5
vna uno DI0FS0 0.862903
figura figura NCFS000 0.962264
de de SPS00 0.999758
cinco 5 Z 0.962264
letras letra NCFP000 1
que que PR0CN000 0.648953
es ser VSIP3S0 1
el el DA0MS0 0.880831
grant grande AQ0CS0 1
nonbre nombre NCMS000 0.968
de de SPS00 0.999758
dios dios NCMS000 0.999067
tetagramaton tetagramaton VMIS3P0 0.438617
e e CC 1
no no RN 0.998783
sope saber VMIS1S0 1
leerle leer+le VMN0000+PP3CSD00 1
. . Fp 1

E e CC 1
encima encima RG 1
de de SPS00 0.999758
la el DA0FS0 0.897854
cabeça cabeza NCFS000 1
tenia tener VMII1S0 0.5
vna uno DI0FS0 0.862903
mietra mietra NCFS000 1
muy muy RG 1
marauillosa maravilloso AQ0FS0 1
. . Fp 1

E e CC 1
yo yo PP1CSN00 1
quisele querer+le VMIS1S0+PP3CSD00 1
demandar demandar VMN0000 1
quien quien PR0CS000 1
era ser VSII1S0 0.483357
e e CC 1
que que CS 0.351047
queria querer VMII3S0 0.65
e e CC 1
donde donde PR000000 0.987805
venia venir VMII1S0 0.478261
. . Fp 1

E e CC 1
el él PP3MS000 0.119169
respondio responder VMIS3S0 1
a a SPS00 0.956937
rey rey NCMS000 1
muy muy RG 1
fuerte fuerte AQ0CS0 1
sal salir VMM02S0 0.96875
de de SPS00 0.999758
tus tu DP2CPS 1
regnados reinar VMPS0PM 1
e e CC 1
ve ver VMIP3S0 0.846154
por por SPS00 1
el el DA0MS0 0.880831
mundo mundo NCMS000 1
Ca ca CS 0.982082
yo yo PP1CSN00 1
metere meter VMIF1S0 1
toda todo DI0FS0 0.949029
la el DA0FS0 0.897854
tierra tierra NCFS000 1
so so SPS00 0.355634
tus tu DP2CPS 1
pies pie NCMP000 1
e e CC 1
fazte hacer+te VMIP3S0+PP2CS000 0.883429
señor señor NCMS000 0.996183
de de SPS00 0.999758
todo todo DI0MS0 0.746894
el el DA0MS0 0.880831
mundo mundo NCMS000 1
. . Fp 1

Mas mas CC 0.345275
si si CS 0.944444
me me PP1CS000 1
vieres ver VMSF2S0 1
en en SPS00 1
esta este DD0FS0 0.817376
forma forma NCFS000 0.972603
en en SPS00 1
que que PR0CN000 0.648953
te te PP2CS000 1
agora ahora RG 1
paresco parecer VMIP1S0 1
perdonaras perdonar VMIF2S0 0.645554
a a SPS00 0.956937
la el DA0FS0 0.897854
mi mi DP1CSS 0.879781
tierra tierra NCFS000 1
a a SPS00 0.956937
los el DA0MP0 0.964169
mios mío PX1MP0S0 1
. . Fp 1

E e CC 1
despues después RG 1
que que PR0CN000 0.648953
ouo haber VAIS3S0 1
dicho decir VMPS0SM 0.994792
esto este PD0NS000 0.983631
fuese ser VSSI1S0 0.480496
para para SPS00 0.988789
el el DA0MS0 0.880831
cielo cielo NCMS000 1
e e CC 1
fincho hinchar VMIS3S0 0.461702
la el DA0FS0 0.897854
casa casa NCFS000 0.990148
de de SPS00 0.999758
olor olor NCMS000 1
muy muy RG 1
marauiloso marauiloso AQ0MS00 1
. . Fp 1

E e CC 1
despues después RG 1
que que CS 0.351047
el el DA0MS0 0.880831
rey rey NCMS000 1
ouo haber VAIS3S0 1
esto estar VAIP1S0 0.016369
contado contar VMPS0SM 1
dixo decir VMIS3S0 1
asi así RG 1
a a SPS00 0.956937
sus su DP3CP0 1
caualleros caballero NCMP000 0.954545
a a SPS00 0.956937
conpañas compañía NCFP000 1
non no RN 0.99968
temades temer VMSP2P0 1
de de SPS00 0.999758
acometer acometer VMN0000 1
muy muy RG 1
fuertes fuerte AQ0CP0 1
batallas batalla NCFP000 1
con con SPS00 1
tal tal DD0CS0 0.776243
cabdillo caudillo NCMS000 1
e e CC 1
con con SPS00 1
tal tal DD0CS0 0.776243
prinçipe príncipe NCMS000 1
como como CS 0.953008
este este DD0MS0 0.93323
que que PR0CN000 0.648953
a a SPS00 0.956937
mi mí PP1CSO00 0.114754
paresçio parecer VMIS3S0 1
verdat verdad NCFS000 1
me me PP1CS000 1
dixo decir VMIS3S0 1
e e CC 1
asi así RG 1
lo lo PP3CNa00 0.348232
fallaredes hallar VMIF2P0 0.672826
por por SPS00 1
fecho fecho NCMS000 0.648
. . Fp 1

E e CC 1
de de SPS00 0.999758
si si CS 0.944444
torrnose tornar+se VMIS3S0+PP3CN000 1
para para SPS00 0.988789
la el DA0FS0 0.897854
hueste hueste NCFS000 1
. . Fp 1

E e CC 1
despues después RG 1
que que PR0CN000 0.648953
ouo haber VAIS3S0 1
conquerido conquerir VMPS0SM 1
muchas mucho DI0FP0 0.836538
tierras tierra NCFP000 1
e e CC 1
soiudgo sojuzgar VMIS3S0 0.517827
a a SPS00 0.956937
tiro tiro NP000G0 0.323529
venose venir+se VMIS3S0+PP3CN000 1
para para SPS00 0.988789
gerusalem jerusalén NP000G0 1
con con SPS00 1
muy muy RG 1
grandes grande AQ0CP0 0.996795
conpañas compañía NCFP000 1
e e CC 1
paresçia parecer VMII3S0 0.647618
que que CS 0.351047
la lo PP3FSA00 0.10199
queria querer VMII3S0 0.65
entrar entrar VMN0000 1
por por SPS00 1
fuerça fuerza NCFS000 0.96875
e e CC 1
destruyr destruir VMN0000 1
el el DA0MS0 0.880831
tenplo templo NCMS000 0.968254
e e CC 1
la el DA0FS0 0.897854
casa casa NCFS000 0.990148
de de SPS00 0.999758
dios dios NCMS000 0.999067
. . Fp 1

Mas mas CC 0.345275
el el DA0MS0 0.880831
obispo obispo NCMS000 1
de de SPS00 0.999758
gerusalem jerusalén NP000G0 1
. . Fp 1

reuestido revestir VMPS0SM 1
como como CS 0.953008
obispo obispo NCMS000 1
en en SPS00 1
sus su DP3CP0 1
pontificales pontifical AQ0CP0 0.916667
salio salir VMIS3S0 0.972603
a a SPS00 0.956937
el el DA0MS0 0.880831
con con SPS00 1
grant grande AQ0CS0 1
proçesion procesión NCFS000 1
. . Fp 1

E e CC 1
quando cuándo PT000000 1
le le PP3CSD00 1
vio ver VMIS3S0 1
alixandre alejandro NP000P0 1
acordose acordar+se VMIS3S0+PP3CN000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
vision visión NCFS000 1
que que PR0CN000 0.648953
le le PP3CSD00 1
auija auija NCFS000 1
aparesçido aparecer VMPS0SM 0.460071
e e CC 1
descendio descender VMIS3S0 1
del del_de+del_el SP+DA 0.5
cauallo caballo NCMS000 1
e e CC 1
fizole hacer+le VMIS3S0+PP3CSD00 1
muy muy RG 1
grant grande AQ0CS0 1
reuerençia reverencia NCFS000 1
e e CC 1
mando mandar VMIP1S0 0.496933
que que CS 0.351047
todos todo PI0MP000 0.230392
abaxasen abajar VMSI3P0 1
las el DA0FP0 0.860393
armas arma NCFP000 0.987805
e e CC 1
el él PP3MS000 0.119169
entro entrar VMIS3S0 0.475
de de SPS00 0.999758
pie pie NCMS000 1
con con SPS00 1
sus su DP3CP0 1
caualleros caballero NCMP000 0.954545
e e CC 1
fuese ser VSSI1S0 0.480496
para para SPS00 0.988789
el el DA0MS0 0.880831
tenplo templo NCMS000 0.968254
e e CC 1
adoro adorar VMIS3S0 0.65
alli allí RG 1
e e CC 1
fizo hacer VMIS3S0 1
muy muy RG 1
grandes grande AQ0CP0 0.996795
sacrifiçios sacrificio NCMP000 1
e e CC 1
dio dar VMIS3S0 1
alli allí RG 1
muchos mucho DI0MP0 0.876506
algos algo NCMP000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
suyos suyo PX3MP000 1
e e CC 1
todos todo PI0MP000 0.230392
se saber VMIP1S0 0.763441
marauillaron maravillar VMIS3P0 1
porque porque CS 0.996454
tal tal DD0CS0 0.776243
reuerençia reverencia NCFS000 1
fiziera hacer VMSI3S0 0.649965
a a SPS00 0.956937
ome hombre NCMS000 1
. . Fp 1

E e CC 1
dixoles decir+le VMIS3S0+PP3CPD00 1
que que CS 0.351047
aquella aquel DD0FS0 0.704678
reuerençia reverencia NCFS000 1
e e CC 1
aquella aquel DD0FS0 0.704678
honrra honra NCFS000 0.972603
que que PR0CN000 0.648953
la lo PP3FSA00 0.10199
fiziera hacer VMSI3S0 0.649965
a a SPS00 0.956937
dios dios NCMS000 0.999067
del del_de+del_el SP+DA 0.5
çielo cielo NCMS000 1
. . Fp 1

E e CC 1
dexo dejar VMIP1S0 0.496933
la el DA0FS0 0.897854
çibdat ciudad NCFS000 1
muy muy RG 1
rica rico AQ0FS0 0.954545
e e CC 1
muy muy RG 1
honrrada honrado AQ0FS0 0.642857
e e CC 1
fuese ser VSSI1S0 0.480496
para para SPS00 0.988789
conquerir conquerir VMN0000 1
otras otro DI0FP0 0.698675
tierras tierra NCFP000 1
. . Fp 1

Mas mas CC 0.345275
aqui aquí RG 1
podemos poder VMIP1P0 1
notar notar VMN0000 1
lo el DA0NS0 0.30297
que que PR0CN000 0.648953
dize decir VMIP3S0 1
en en SPS00 1
el el DA0MS0 0.880831
segundo 2 AO0MS0 1
libro libro NCMS000 0.993994
de de SPS00 0.999758
alixandre alejandro NP000P0 1
que que PR0CN000 0.648953
despues después RG 1
que que PR0CN000 0.648953
sopo saber VMIS3S0 1
dario darío NP000P0 1
en en SPS00 1
como como CS 0.953008
alexandre alejandro NP000P0 1
le le PP3CSD00 1
entraua entrar VMII1S0 0.5
en en SPS00 1
la el DA0FS0 0.897854
tierra tierra NCFS000 1
para para SPS00 0.988789
darle dar+le VMN0000+PP3CSD00 1
pelea pelea NCFS000 0.913043
ayunto ayuntar VMIP1S0 0.5
muy muy RG 1
grant grande AQ0CS0 1
hueste hueste NCFS000 1
sin sin SPS00 1
cuenta cuenta NCFS000 0.398693
enbio enviar VMIS3S0 1
vna uno DI0FS0 0.862903
carta carta NCFS000 1
con con SPS00 1
mensaiero mensajero NCMS000 0.633609
muy muy RG 1
honrrados honrado AQ0MP0 0.916667
a a SPS00 0.956937
alexandre alejandro NP000P0 1
es ser VSIP3S0 1
tenor tenor NCMS000 1
era ser VSII1S0 0.483357
este este DD0MS0 0.93323
. . Fp 1

Dario darío NP000P0 1
rey rey NCMS000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
reyes rey NCMP000 1
e e CC 1
pariente pariente NCCS000 0.954545
de de SPS00 0.999758
los el DA0MP0 0.964169
dioses dios NCMP000 1
escruie escruie VMII3S0 1
a a SPS00 0.956937
alexandre alejandro NP000P0 1
su su DP3CS0 1
sieruo siervo NCMS000 1
. . Fp 1

maguera maguer CS 1
que que CS 0.351047
tu tú PP2CSN00 0.657104
seas ser VSSP2S0 1
muy muy RG 1
noble noble AQ0CS0 0.996894
. . Fp 1

mas mas CC 0.345275
non no RN 0.99968
te te PP2CS000 1
conuiene convenir VMIP3S0 1
de de SPS00 0.999758
acometer acometer VMN0000 1
lo el DA0NS0 0.30297
que que PR0CN000 0.648953
quieres querer VMIP2S0 1
acometer acometer VMN0000 1
mas más RG 0.654277
ten tener VMM02S0 1
mientes miente NCFP000 0.52
en en SPS00 1
tu tu DP2CSS 0.342896
fazienda facienda NCFS000 0.512121
e e CC 1
non no RN 0.99968
quieras querer VMSP2S0 1
menospreçiar menospreciar VMN0000 1
tus tu DP2CPS 1
años año NCMP000 1
pequenos pequeño AQ0MP0 0.666357
e e CC 1
pocos poco PI0MP000 0.34375
. . Fp 1

Ca ca CS 0.982082
eres ser VSIP2S0 1
moco moco NCMS000 1
e e CC 1
tierrno tierno AQ0MS0 1
e e CC 1
deues deber VMIP2S0 0.541113
mas más RG 0.654277
contar contar VMN0000 1
como como CS 0.953008
crescas crecer VMSP2S0 1
. . Fp 1

Ca ca CS 0.982082
el el DA0MS0 0.880831
arbol árbol NCMS000 1
que que PR0CN000 0.648953
non no RN 0.99968
es ser VSIP3S0 1
maduro maduro AQ0MS0 1
non no RN 0.99968
se saber VMIP1S0 0.763441
deue deber VMIP3S0 0.993174
coger coger VMN0000 1
. . Fp 1

Onde donde RG 0.5
digote decir+te VMIP1S0+PP2CS000 1
que que CS 0.351047
tires tirar VMSP2S0 1
de de SPS00 0.999758
ti ti PP2CSO00 1
los el DA0MP0 0.964169
aparatos aparato NCMP000 1
de de SPS00 0.999758
las el DA0FP0 0.860393
armas arma NCFP000 0.987805
que que PR0CN000 0.648953
traes traer VMIP2S0 1
los el DA0MP0 0.964169
quales cuál PT0CP000 1
tomaste tomar VMIS2S0 1
locamente locamente RG 1
e e CC 1
torrnate tornar+te VMSI3S0+PP2CS000 0.489305
para para SPS00 0.988789
tu tu DP2CSS 0.342896
madre madre NCFS000 1
. . Fp 1

E e CC 1
yo yo PP1CSN00 1
te te PP2CS000 1
enbio enviar VMIS3S0 1
donas don NCFP000 1
quales cuál PT0CP000 1
cunplen cumplir VMIP3P0 1
a a SPS00 0.956937
tu tu DP2CSS 0.342896
hedat edad NCFS000 1
vn uno DI0MS0 0.965785
tronpo tronpo NCMS000 1
de de SPS00 0.999758
oro oro NCMS000 0.968254
e e CC 1
vnos uno PI0MP000 0.980769
açotes azote NCMP000 1
con con SPS00 1
que que PR0CN000 0.648953
